	crt_76[K]	crt_72-76[CVMNK]	dhfr_51[N]	dhfr_59[C]	dhfr_108[S]	dhfr_164[I]	dhps_437[G]	dhps_540[K]	dhps_581[A]	dhps_613[A]	kelch13_349-726_ns_changes	mdr1_dup_call	mdr1_breakpoint	pm2_dup_call	pm2_breakpoint
SPT00876	K	CVMNK	N	C	S	I	G	E	A	A		0		0	
SPT00877	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT00879	K	CVMNK	N,I	R	N	I	G,A	K	A	A		0		0	
SPT00880	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		0	PfMDR1_dup_18	0	
SPT00881	T,K	CVIET,CVMNK	I	R	N	I	G,A	K	A	S,A		0		0	
SPT00883	K,T	CVMNK,CVIET	I	C	N	I	G	E	A	A		0		0	
SPT00889	K	CVMNK	I	C	N	I	G	E	G	A		0		0	
SPT00890	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
SPT00892	T	CVIET	I	R	N	I	G	E	G	A		0		0	
SPT00898	T	CVIET	I	R	N	I	A	K	A	A		0		0	
SPT00899	T	CVIET	I	C	N	I	G	E	A	A		0		0	
SPT00901	T	CVIET	I	C	N	I	G	E	G	A		0		0	
SPT00902	T	CVIET	I	R	N	I	G	E	G	A		0		0	
SPT00903	T	CVIET	I	C	N	I	G	E	A	A		0		0	
SPT12071	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12073	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12074	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12075	K	CVMNK	I,N	R	N	I	A,G	K	A	A,S		0		0	
SPT12076	T,K	CVIET,CVMNK	I	R	N	I	A,G	K	A	S,A	-	0		-1	
SPT12077	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
SPT12078	K	CVMNK	I	R	N	I	A	K	A	A	g538v	0		0	
SPT12080	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12082	K	CVMNK	I	R	N	I	G	K	A	A	-	-1		-1	
SPT12084	K	CVMNK	N,I	C,R	S,N	I	G	K	A	A		0		0	
SPT12085	K	CVMNK	I	R	N	I	G	K	A	A	-	-1		-1	
SPT12086	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12087	K	CVMNK	I	R	N	I	G	K	A	A	-	0		0	
SPT12088	K	CVMNK	I,N	R	N	I	G	K	A	A	-	-1		-1	
SPT12089	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12090	K	CVMNK	I,N	R	N	I	G	K	A	A		0		0	
SPT12091	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12092	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12093	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12095	T	CVIET	I	R	N	I	G	K	A	A		0		0	
SPT12096	K	CVMNK	I	R	N	I	G	K	A	A,S		0		0	
SPT12097	K	CVMNK	I	R	N	I	G	K	A	S	-	-1		-1	
SPT12098	K	CVMNK	I	R	N	I	G	K	A	S,A	-	-1		-1	
SPT12100	K	CVMNK	N,I	C,R	S	I	G	K	A	A		0	PfMDR1_dup_24	0	
SPT12102	K	CVMNK	I,N	R	N	I	G	K	A	A		0		0	
SPT12103	K	CVMNK	I	R	N	I	G	K	A	A	-	0		-1	
SPT12104	K,T	CVMNK,CVIET	I	R	N,S	I	G	K	A	A	-	-1		-1	
SPT12105	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12109	K	CVMNK	I,N	R,C	N	I	G	K	A	A		-1		-1	
SPT12110	K	CVMNK	I,N	R,C	N,S	I	A,G	K	A	A		0		0	
SPT12111	K	CVMNK	I	R	N	I	G	K	A	A	A578S	0		0	
SPT12112	K	CVMNK	N	C	S	I	G	E	A	A		0		0	
SPT12114	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12115	K	CVMNK	I	R	N	I	G	K	A	S		0		0	
SPT12116	K	CVMNK	I,N	R,C	N,S	I	G,A	K	A	A		0		0	
SPT12117	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
SPT12118	K	CVMNK	I	R	N	I	G	K	A	A		0	PfMDR1_dup_08	0	
SPT12119	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12120	K	CVMNK	-	-	-	I	G	K	A	A	-	-1		-1	
SPT12121	K	CVMNK	N	C	N,S	I	G	K	A	A		0		0	
SPT12122	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12124	K	CVMNK	N,I	R,C	N,S	I	G	K	A	A		-1		-1	
SPT12126	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12128	K	CVMNK	I	R	N	I	G	E,K	A	A		0		0	
SPT12129	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12131	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12132	K	CVMNK	I,N	R	N	I	G,A	K,E	A	A	-	0		-1	
SPT12133	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12134	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12135	K	CVMNK	N,I	C,R	N,S	I	G,A	K	A	A		0		0	
SPT12136	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12138	K	CVMNK	I,N	R	N	I	G,A	K	A	A		0		0	
SPT12139	K	CVMNK	I	R	N	I	G	K	A	A		0	PfMDR1_dup_01	0	
SPT12226	K	CVMNK	I	R	N	I	G	K	A	A	-	0		-1	
SPT12230	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12263	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12264	K	CVMNK	N	R	N	I	G	K	A	A		0		0	
SPT12265	K	CVMNK	N	C	S	I	G	K	A	A	-	-1		0	
SPT12266	K	CVMNK	I	R	N	I	G,A	K	A	S		0		0	
SPT12269	K,T	CVMNK,CVIET	I,N	R	N	I	G	K	A	A		0		0	
SPT12271	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12272	K	CVMNK	I,N	R,C	N	I	G,A	K	A	A,S		0		-1	
SPT12273	K	CVMNK	N,I	C,R	S,N	I	G	K	A	A		0		0	
SPT12274	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12275	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12277	K	CVMNK	I	R,C	N	I	G	K	A	A	-	-1		0	
SPT12278	K	CVMNK	N	R	N	I	G	K	A	S		0		0	
SPT12279	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12281	K	CVMNK	N	R	-	I	A,G	K	A	S,A	-	0		-1	
SPT12283	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12292	K	CVMNK	I	R	N	I	-	-	-	-	-	-1		-1	
SPT12293	K	CVMNK	I	R	N	I	A,G	K	A	A		0		0	
SPT12297	K	CVMNK	I	R	-	I	G	K	A	A	-	-1		-1	
SPT12299	K	CVMNK	N,I	C,R	S,N	I	G	K	A	A		0		0	
SPT12302	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12304	K	CVMNK	I,N	R	N	I	A	K	A	A		0		-1	
SPT12307	K	CVMNK	N,I	R	N	I	G	K	A	A,S		0	PfMDR1_dup_08	0	
SPT12309	K	CVMNK	N,I	R	N	I	G	K	A	A		0		0	
SPT12317	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12319	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12321	T,K	CVIET,CVMNK	I	R	N	I	A	K	A	A		0		0	
SPT12323	K	CVMNK	N	R	N	I	G	K	A	A		0	PfMDR1_dup_08	0	
SPT12327	K	CVMNK	I	R	N	-	-	K	-	A	-	-1		-1	
SPT12329	K	CVMNK	I	R	N	I	G,A	K	A	A		0		0	
SPT12330	K	CVMNK	N	R	N	I	G	K	A	A		0		0	
SPT12332	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12335	T	CVIET	I	R	N	I	G	K	A	A		0		-1	
SPT12336	K	CVMNK	I	C	N	I	G	K	A	A		0		0	
SPT12337	K	CVMNK	I,N	R,C	N,S	I	G	K	A	A		-1		-1	
SPT12338	K	CVMNK	I	C	N	I	G	K	A	A		0		-1	
SPT12339	K	CVMNK	I,N	R,C	S,N	I	G	K	A	A		-1		-1	
SPT12340	K	CVMNK	N	R	N	I	A,G	K	A	A		0		0	
SPT12342	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12343	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12344	K	CVMNK	I,N	R,C	N,S	I	A,G	K	A	A		0		0	
SPT12345	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12346	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12347	K	CVMNK	I	R	N	I	G	K	A	A	-	0		-1	
SPT12348	K	CVMNK	I,N	R,C	N,S	I	A,G	K	A	A		0		0	
SPT12349	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12350	K	CVMNK	I	R	N	I	G	K	A	A,S		0		0	
SPT12351	K	CVMNK	N	C	S	I	G	K	A	A	-	0		-1	
SPT12353	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12354	K	CVMNK	-	-	N	I	-	K	-	A	-	-1		-1	
SPT12355	K	CVMNK	I	R	N	I	G	K	A	S,A		0		0	
SPT12356	K	CVMNK	I	R	N	I	G	K	A	A,S		0		0	
SPT12357	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12358	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12367	K	CVMNK	I	R	N	I	G	K	A	A		0		-1	
SPT12368	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12370	K	CVMNK	I	R	N	I	A,G	K	A	A		0		0	
SPT12372	K	CVMNK	N,I	R	N	I	G	K	A	A		0		0	
SPT12450	K	CVMNK	N,I	C,R	S,N	I	G	K	A	A,S		0		0	
SPT12454	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12455	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12458	K	CVMNK	I,N	R	N	I	G	K	A	A	-	0		0	
SPT12459	K	CVMNK	I	R	N	I	G	K	A	A	-	-1		-1	
SPT12460	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12461	K	CVMNK	I	R	N	I	G	K	A	A		-1		-1	
SPT12463	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12467	K	CVMNK	I	R	N	I	G	K	A	A		0		-1	
SPT12470	K	CVMNK	I,N	C,R	N,S	I	G	K	A	A		0		0	
SPT12471	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12472	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12477	K	CVMNK	N	R	N	I	G	K	A	A		0		0	
SPT12478	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12479	K	CVMNK	N	R	N	I	G	K	A	A		0		0	
SPT12480	T	CVIET	I	R	N	I	G	K	A	A		0		0	
SPT12482	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12485	K	CVMNK	I	R	N	I	G	K	A	A		0		-1	
SPT12486	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12488	T,K	CVIET,CVMNK	N,I	R	N	I	G	K	A	A		0		0	
SPT12490	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12492	K	CVMNK	I	R	N	I	G	K	A	-	-	-1		-1	
SPT12493	K	CVMNK	I,N	R,C	N,S	I	G	K	A	A		0		0	
SPT12494	K	CVMNK	I	R	N	I	-	K	A	-	-	-1		-1	
SPT12495	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12497	K	CVMNK	I	R	N	I	G	K	A	A	n458d	0		0	
SPT12498	K	CVMNK	I	R	N	I	G	-	A	S	-	-1		-1	
SPT12499	K	CVMNK	I,N	R,C	N,S	I	G	K	A	A		0		0	
SPT12500	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12502	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12505	K	CVMNK	I	R	N	I	G	K	A	A	-	-1		0	
SPT12506	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12507	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
SPT12508	K	CVMNK	I,N	R,C	N,S	I	G	K	A	A		0		0	
SPT12510	K	CVMNK	I	R	N	I	G	K	A	A		-1		-1	PfPlasmepsin_2
SPT12513	K	CVMNK	N	R	N	I	G	K	A	A		0	PfMDR1_dup_02	0	
SPT12514	K	CVMNK	I	R	N	I	G	K	A	A	-	0		0	
SPT12515	K	CVMNK	N,I	R,C	N,S	I	G	K	A	A		0		0	
SPT12516	K	CVMNK	N,I	R	N	I	G	K	A	A		0		0	
SPT12517	K	CVMNK	I,N	R	N	I	A	K	A	A		0		0	
SPT12518	K	CVMNK	-	-	-	-	G	K	A	A	-	-1		-1	
SPT12519	K	CVMNK	I	R	N	I	A	K	A	S		0		0	
SPT12520	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12521	K	CVMNK	I	R	N	I	G	K	A	A		-1		-1	
SPT12522	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12523	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
SPT12524	K	CVMNK	N,I	R	N	I	G	K	A	A		-1		-1	
SPT12525	K	CVMNK	I	R	N	I	G	K	A	A	-	0		-1	
SPT12526	K	CVMNK	N	C	S,N	I	G	K	A	A	-	0		0	
SPT12527	K	CVMNK	I	R	N	I	G	K	A	A	-	0		0	
SPT12528	K	CVMNK	I	R	N	I	G	K	A	A	-	0		0	
SPT12529	K	CVMNK	I	R	N	I	G	K	A	A		-1	PfMDR1_dup_18	-1	
SPT12535	K	CVMNK	I	R	N	I	G	K	A	A	-	-1		-1	
SPT12536	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
SPT12537	K	CVMNK	I	R	N	-	G	K	A	A	-	-1		-1	
SPT12540	K	CVMNK	N,I	R	N	I	G	K	A	A	-	-1		0	
SPT12543	K	CVMNK	N	R	N	I	G	K	A	S		0		-1	
SPT12544	K	CVMNK	I	R	N	I	A,G	K	A	S,A		0		0	
SPT12552	K	CVMNK	I	R	N	I	G	K	A	A,S		0		0	
SPT12555	K	CVMNK	I	R	N	I	G	K	A	A		-1		-1	
SPT12556	K	CVMNK	I,N	R,C	N,S	I	G,A	K	A	A		0		0	
SPT12557	K	CVMNK	I	R	N	I	G	K	A	A	-	-1		-1	
SPT12558	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12559	K	CVMNK	I	R	-	I	G	K	A	A	-	-1		-1	
SPT12560	K	CVMNK	I,N	R	N	I	G	K	A	S,A		0		0	
SPT12563	K	CVMNK	N,I	R	N	I	G	K	A	A		-1		0	
SPT12564	T,K	CVIET,CVMNK	I	R	N	I	A,G	K	A	A		0		0	
SPT12566	K	CVMNK	I	R,C	N	I	G	K	A	A		0		0	
SPT12568	K	CVMNK	I	R	N	I	G	K	A	A	-	0		0	
SPT12569	K	CVMNK	I	R	N	I	G	K	A	A		0	PfMDR1_dup_04	0	
SPT12572	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
SPT12573	K	CVMNK	N,I	C,R	S,N	I	G	K	A	A		0		0	
SPT12576	K	CVMNK	I	C	N	I	G	K	A	A		0		0	
SPT12578	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
SPT12579	K	CVMNK	I,N	R,C	N,S	I	G	K	A	A		0		0	
SPT12580	K	CVMNK	I	R	N	I	G,A	K	A	A	-	0		0	
SPT12581	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12583	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12584	K	CVMNK	I,N	R,C	N	I	G	K	A	A		0		0	
SPT12622	K	CVMNK	I,N	R,C	N,S	I	A	K	A	A		-1		-1	
SPT12652	K	CVMNK	I	R	N	I	G	K	A	A	-	0		-1	
SPT12666	K	CVMNK	N,I	R	N	I	G	K	A	A		0		-1	
SPT12705	K	CVMNK	N	C	S,N	I	G	K	A	A	-	0		-1	
SPT12727	K	CVMNK	N,I	R	N	I	G	K	A	S	-	-1		0	
SPT12741	K	CVMNK	I,N	R	N,S	I	G,A	K	A	A	-	0		-1	
SPT12796	K	CVMNK	N	R	N	I	G	K	A	S		-1		-1	
SPT12807	K	CVMNK	I,N	R,C	N,S	I	A,G	K	A	A		0		0	
SPT12863	K,T	CVMNK,CVIET	I	R	N	I	G	K	A	A		-1		-1	
SPT12916	K	CVMNK	I,N	R,C	N	I	G	K	A	A		0		-1	
SPT12920	K	CVMNK	I	R	N	I	G	K	A	A		0		-1	
SPT12964	K	CVMNK	I,N	R	N	I	G,A	K	A	A	-	-1		-1	
SPT12969	K	CVMNK	I,N	R,C	N,S	I	G,A	K	A	A		-1		-1	
SPT12972	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12980	K	CVMNK	I,N	R,C	N,S	I	G	K	A	A		0		0	
SPT12982	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT12985	K	CVMNK	I	R	N	I	G	K	A	A	-	-1		0	
SPT12990	K	CVMNK	I	R	N	I	G	K	A	A,S		0		0	
SPT13003	K	CVMNK	I	R	N	I	G	K	A	A	-	-1		-1	
SPT13038	K	CVMNK	I	R	N	I	G	K	A	A	-	-1		-1	
SPT13073	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT14937	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT14938	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT14939	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT14940	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT14941	K	CVMNK	N	R	N	I	G	K	A	A		0		0	
SPT14942	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT14944	K	CVMNK	N,I	R	N	I	G	K	A	A		0		0	
SPT14945	K	CVMNK	N,I	R	N	I	G	K	A	A		0		0	
SPT14946	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT14947	K,T	CVMNK,CVIET	I,N	R	N	I	G	K	A	A		0		0	
SPT14949	K	CVMNK	N	C	N	I	G	K	A	A		0		0	
SPT14951	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT14952	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT14953	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT14954	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
SPT14955	K	CVMNK	I	R	N	I	G	K	A	A,S		0		0	
SPT14956	K	CVMNK	N	C	S	I	G	K	G	S		0		0	
SPT14957	K	CVMNK	I	R	N	I	G,A	K	A	A,S		0		0	
SPT14958	K	CVMNK	I	R	N	I	G	K	A	S,A		0		0	PfPlasmepsin_1
SPT14959	K	CVMNK	N,I	C,R	S,N	I	A,G	K	A	S,A		0	PfMDR1_dup_17	0	
SPT14960	K	CVMNK	I	R	N	I	G	K	A	A		0	PfMDR1_dup_04	0	
SPT14961	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT14962	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT14963	T	CVIET	I	R	N	I	G	K	A	A		0		0	
SPT14964	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
SPT14965	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT14966	K	CVMNK	N	R	N	I	G	K	A	A		0		0	
SPT14967	K,T	CVMNK,CVIET	I	R,C	N	I	G,A	K,E	A	A		0	PfMDR1_dup_02	0	
SPT14968	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT14969	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT14970	T	CVIET	I	R	N	I	G	K	A	A		0		0	
SPT14971	T	CVIET	I	R	N	I	G	K	A	A		0		0	
SPT14972	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT14973	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT14974	K	CVMNK	I	R	N	I	G	K	A	S		0	PfMDR1_dup_03	0	
SPT14975	T,K	CVIET,CVMNK*	N	C	S	I	G	K	A	A,S		0		0	
SPT14976	K	CVMNK	I	R	N	I	G	K	A,G	A,S		0		0	
SPT14977	K	CVMNK	I,N	R,C	N,S	I	G	K	A	A		0		0	
SPT14978	K	CVMNK	N,I	R	N	I	G,A	K	A	A		0		0	
SPT14979	K	CVMNK	N	R	N	I	G	K	A	A		0		0	
SPT14980	T	CVIET	I	R	N	I	G	K	A	A		0		0	
SPT14981	K	CVMNK	I,N	R	N	I	G	K	A	A		0		0	
SPT14982	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT14983	T,K	CVIET,CVMNK	N	R,C	N,S	I	G	K	A	A		0		0	
SPT14984	K	CVMNK	I	R	N	I	G	K	A	A		0	PfMDR1_dup_05	0	
SPT14985	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT14986	K	CVMNK	I,N	R,C	N,S	I	A,G	K	A	A		0		0	
SPT14987	K	CVMNK	I,N	R	N	I	G	K	A,G	A,S		0		0	
SPT14988	K	CVMNK	I	R	N	I	G	K	A	A,S		0		0	
SPT14989	K	CVMNK	I,N	C	N,S	I	G	K	A	A		0		0	
SPT14990	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT14991	K	CVMNK	I	R	N	I	G	K	A	S		0		0	
SPT14992	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT14993	K	CVMNK	N	R	N	I	G	K	A	A		0		0	
SPT14994	K	CVMNK	I	R	N	I	G	K	A	S		0		0	
SPT14995	K	CVMNK	N,I	C,R	S,N	I	G	K	A	A		0		0	
SPT14996	K	CVMNK	I,N	R,C	N,S	I	G	K	A	A		0		0	
SPT14997	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT14998	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15000	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15001	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15002	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15003	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
SPT15004	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15005	K	CVMNK	I	R	N	I	G	K	A	A,S		0		0	
SPT15006	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15007	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
SPT15008	K	CVMNK	N	R	N	I	G	K	A	A		0		0	
SPT15009	K	CVMNK	I	R	N	I	G	K	A	A		0	PfMDR1_dup_07	0	
SPT15010	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15011	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15013	K	CVMNK	N	R	N	I	G	K	G	S		0		0	
SPT15014	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15015	K	CVMNK	I	R	N	I	G	K	A	A,S		0	PfMDR1_dup_02	0	
SPT15016	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15017	K	CVMNK	I	R	N	I	G	K	A	A		0	PfMDR1_dup_13	0	
SPT15018	K	CVMNK	I,N	R	N	I	G,A	K	A	A,S		0		0	
SPT15019	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15020	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
SPT15021	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15022	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
SPT15023	K	CVMNK	I	R	N	I	G	K	A	A		0	PfMDR1_dup_05	0	
SPT15024	K	CVMNK	I	R	N	I	A,G	K	A	S,A		0		0	
SPT15025	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
SPT15026	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15027	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15028	K	CVMNK	I	R	N	I	G	K	G	S		0		0	
SPT15029	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15030	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15031	K	CVMNK	I	R	N	I	G	K	A	A		0		0	PfPlasmepsin_1
SPT15032	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15033	T	CVIET	N,I	R	N	I	G	K	A	A		0		0	
SPT15034	K,T	CVMNK,CVIET	I,N	R,C	N,S	I	G	K	A	A		0		0	
SPT15035	K	CVMNK	N	R	N	I	G	K	A	A		0		0	
SPT15036	K,T	CVMNK,CVIET	I,N	R	N	I	G	K	A	A		0		0	
SPT15037	K	CVMNK	I	R	N	I	G	K	A	S,A		0		0	
SPT15038	K	CVMNK	I,N	R,C	N,S	I	G	K	A	A		0	PfMDR1_dup_05	0	
SPT15039	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15040	K	CVMNK	N	R	N	I	G	K	A	A		0		0	
SPT15041	K	CVMNK	N	C	N	I	G	K	A	A		0		0	
SPT15042	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15044	K	CVMNK	N	R	N	I	G	K	A	A		0		0	
SPT15045	K	CVMNK	I	R	N	I	A,G	K	A	A		0		0	
SPT15046	K	CVMNK	I	R	N	I	G	K	A	A		0		0	PfPlasmepsin_1
SPT15047	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15048	K	CVMNK	I	R	N	I	G	K	A	A,S		0		0	
SPT15049	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15050	K,T	CVMNK,CVIET	I	R	N	I	G	K	A	A		0		0	
SPT15051	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15052	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15053	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15054	K	CVMNK	N,I	C,R	S,N	I	A,G	K	A	A		0		0	
SPT15055	K	CVMNK	I	R	N	I	G,A	K	A	A		0		0	
SPT15056	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15057	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15058	K	CVMNK	I	R,C	N	I	A,G	K	A	A		0		0	
SPT15059	K	CVMNK	I,N	R,C	N,S	I	G,A	K	A	A,S		0		0	
SPT15060	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15061	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
SPT15062	K	CVMNK	I,N	R	N	I	G,A	K	A	A		0		0	
SPT15063	T	CVIET	I	R	N	I	G	K	A	A		0		0	
SPT15064	T	CVIET	I	R	N	I	G	K	A	A		0		0	
SPT15065	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15066	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15067	K,T	CVMNK,CVIET	N,I	C,R	S	I	G	K	A	A		0		0	
SPT15068	K	CVMNK	N,I	R	N	I	G	K	A,G	A,S		0		0	
SPT15069	K	CVMNK	N	R	N	I	G	K	A	A		0		0	
SPT15070	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15071	K	CVMNK	I	R	N	I	G	K	A	A		0	PfMDR1_dup_16	0	PfPlasmepsin_3
SPT15073	T	CVIET	I	R	N	I	G	K	A	A		0		0	
SPT15074	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15075	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15076	K	CVMNK	N	R	N	I	G	K	A	A		0		0	
SPT15077	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
SPT15078	K	CVMNK	N	R	N	I	G	K	A	A		0		0	
SPT15079	K	CVMNK	I	R	N	I	G	K	A	A		0		0	PfPlasmepsin_1
SPT15080	K	CVMNK	N,I	R	N	I	G	K	A	A		0		0	
